id,dimensions_small,dimensions_large,steps,steps_to_keep,rule,bundle_size,n_trails,experiment_desc,neg_mean,neg_std,pos_mean,pos_std,timestamp
142,128,512,3,4,143,5,1000,concatenating previous CA expansion,0.527613840687814,0.0352392464031113,0.698604296875,0.0339372443280503,2023-10-11 13:00:18.989307
143,128,512,3,4,144,5,1000,concatenating previous CA expansion,0.6957494739321608,0.0259744554918809,0.78156640625,0.0249687423610556,2023-10-11 13:01:11.363910
144,128,512,3,4,145,5,1000,concatenating previous CA expansion,0.5151561125942211,0.0286751595531094,0.69373359375,0.0276730788200705,2023-10-11 13:02:02.327045
145,128,512,3,4,146,5,1000,concatenating previous CA expansion,0.5908465118561558,0.0244239360501374,0.727141796875,0.0237006892977241,2023-10-11 13:02:49.804458
146,128,512,3,4,147,5,1000,concatenating previous CA expansion,0.514681972361809,0.02648814620096,0.69300625,0.025074452077217,2023-10-11 13:03:38.471444
147,128,512,3,4,148,5,1000,concatenating previous CA expansion,0.5705171894629397,0.0262092403261223,0.717269921875,0.0248434382320011,2023-10-11 13:04:32.118458
148,128,512,3,4,149,5,1000,concatenating previous CA expansion,0.4999398221576633,0.0257211049983609,0.687279296875,0.0244318865404523,2023-10-11 13:05:20.527040
149,128,512,3,4,150,5,1000,concatenating previous CA expansion,0.5000185792242462,0.0220882793708245,0.687639453125,0.0208646322341272,2023-10-11 13:06:04.598114
150,128,512,3,4,151,5,1000,concatenating previous CA expansion,0.548925494660804,0.0240209330317217,0.70762109375,0.0218716162980083,2023-10-11 13:06:47.973205
151,128,512,3,4,152,5,1000,concatenating previous CA expansion,0.6112981371702262,0.0282498950211054,0.737442578125,0.0261007235693477,2023-10-11 13:07:36.321041
152,128,512,3,4,153,5,1000,concatenating previous CA expansion,0.499947161589196,0.0221224522338065,0.68743125,0.0204283020562733,2023-10-11 13:08:19.414540
153,128,512,3,4,154,5,1000,concatenating previous CA expansion,0.5000421914258794,0.0299470196408377,0.68783515625,0.0280312941902348,2023-10-11 13:09:05.824596
154,128,512,3,4,155,5,1000,concatenating previous CA expansion,0.5925466237437186,0.0266433668991166,0.7278515625,0.0258975537179521,2023-10-11 13:09:56.130638
155,128,512,3,4,156,5,1000,concatenating previous CA expansion,0.5001442721419598,0.0358792934609264,0.68778203125,0.0336018311410297,2023-10-11 13:10:47.275407
156,128,512,3,4,157,5,1000,concatenating previous CA expansion,0.5171245524497488,0.0339114666127525,0.69476484375,0.0325288249107348,2023-10-11 13:11:33.449953
157,128,512,3,4,158,5,1000,concatenating previous CA expansion,0.5698119641174623,0.0260892682670652,0.717241015625,0.0247526898118888,2023-10-11 13:12:21.706877
158,128,512,3,4,159,5,1000,concatenating previous CA expansion,0.6532752316268844,0.0264499610917483,0.75744765625,0.0251404673292717,2023-10-11 13:13:13.196298
159,128,512,3,4,160,5,1000,concatenating previous CA expansion,0.7492462802292713,0.0325536104109354,0.820355078125,0.0309820867133419,2023-10-11 13:14:06.309399
160,128,512,3,4,161,5,1000,concatenating previous CA expansion,0.5321458856783919,0.0237335230492952,0.70060859375,0.0225350361844608,2023-10-11 13:14:58.544982
161,128,512,3,4,162,5,1000,concatenating previous CA expansion,0.5587798190169598,0.0384265559764898,0.712299609375,0.0372365129486627,2023-10-11 13:15:46.336467
162,128,512,3,4,163,5,1000,concatenating previous CA expansion,0.5116606744660804,0.036288702781063,0.6924265625,0.0352619882443036,2023-10-11 13:16:31.704467
163,128,512,3,4,164,5,1000,concatenating previous CA expansion,0.6400177174937186,0.0322679355754521,0.7536046875,0.0294227349017993,2023-10-11 13:17:18.934751
164,128,512,3,4,165,5,1000,concatenating previous CA expansion,0.5000483629082915,0.0220822791855099,0.68713203125,0.0203049213476097,2023-10-11 13:18:05.626737
165,128,512,3,4,166,5,1000,concatenating previous CA expansion,0.5001195587311558,0.0301532183245652,0.68851015625,0.0288009129167612,2023-10-11 13:18:50.212984
166,128,512,3,4,167,5,1000,concatenating previous CA expansion,0.53292493522299,0.0262219721954324,0.701220703125,0.0247565643390749,2023-10-11 13:19:35.651140
167,128,512,3,4,168,5,1000,concatenating previous CA expansion,0.6146907192211055,0.0426412609733736,0.73985078125,0.0387696555728485,2023-10-11 13:20:20.110002
168,128,512,3,4,169,5,1000,concatenating previous CA expansion,0.5000088430433417,0.0270046662276981,0.687494140625,0.0252899590239941,2023-10-11 13:21:05.740631
169,128,512,3,4,170,5,1000,concatenating previous CA expansion,0.4999048994974874,0.0441099098107465,0.687228125,0.0413324733062198,2023-10-11 13:21:50.085025
170,128,512,3,4,171,5,1000,concatenating previous CA expansion,0.5415015507223618,0.0386825066764791,0.7046375,0.0369123214205805,2023-10-11 13:22:34.672127
171,128,512,3,4,172,5,1000,concatenating previous CA expansion,0.5184235631281408,0.0349597897282034,0.69466328125,0.0327148093656535,2023-10-11 13:23:22.874254
